,w_adv,w_time,w_prob,non-weighted error,weighted error,correlation,pvalue,mean,std,c0,c10,c20,c30,c40,c50,c60,c70,c80,c90,r0,r10,r20,r30,r40,r50,r60,r70,r80,r90
10,0.0,1.0,0.0,0.2613626277286358,0.4673993445601769,0.8099767663539936,0.007047103369397541,0.2690129943893895,0.35730444754210583,3668.1,388.9,294.8,288.1,262.0,238.0,220.7,228.1,177.3,787.3,0.7240961205201071,0.681021070033148,0.6674921429820749,0.6666084843575685,0.7330989034369855,0.741857250363816,0.7512561529324076,0.809183291500004,0.8540535208897417,0.9601097161956134
11,0.09999999999999999,0.0,0.9000000000000001,0.03441294950108833,0.029652864103688715,0.9824886637332172,0.0008256670229150311,0.7885396855833562,0.16093979715327564,0.0,0.0,0.0,0.0,249.3,888.9,1075.0,1048.3,1057.8,2234.0,,,,,0.47677846237032373,0.5407482109561905,0.6048540237829328,0.6987913245701517,0.8015341005092734,0.9420786487879376
12,0.09999999999999999,0.09999999999999999,0.7999999999999999,0.029369340821627087,0.02760026746539221,0.9897569761158909,0.00021964584473249275,0.7339024245349204,0.16186913531389446,0.0,0.0,0.0,0.0,505.5,1145.0,1171.5,1123.7,1522.3,1085.3,,,,,0.5057178544441778,0.5644777199181983,0.6552011390580046,0.7554525779549961,0.8955835909432921,0.9702568805025139
13,0.09999999999999999,0.19999999999999998,0.7000000000000001,0.07797225118590388,0.07779689317188032,0.9878447429839443,4.824610366457568e-05,0.6792651634864876,0.17019453595485598,0.0,0.0,0.0,206.9,862.2,1261.1,1272.3,1532.5,515.4,902.9,,,,0.47068258833103027,0.5526446216620087,0.6183674792956377,0.7146378289302178,0.8668350285126907,0.8913945018076227,0.9788226571305405
14,0.09999999999999999,0.29999999999999993,0.5999999999999999,0.11442867866660737,0.13169795723694067,0.9758244750239662,0.00021303660428686767,0.6246279024380563,0.18491956395461923,0.0,0.0,0.0,636.5,1173.2,1401.4,1602.2,529.5,380.2,830.3,,,,0.5225523756805929,0.5999552770958254,0.6935524477618806,0.8346268218254156,0.8168986386053362,0.9024597382884483,0.9805554514087526
15,0.09999999999999999,0.39999999999999997,0.5,0.1504675536511548,0.18616372643765053,0.9505326781455171,0.00036538712972401674,0.569990641389624,0.2046676686962452,0.0,0.0,202.8,1148.6,1471.0,1661.7,542.5,417.0,318.0,791.7,,,0.47400159940550013,0.5748677848204551,0.6818813501092253,0.8220410786409141,0.7493770556475498,0.8129921207832413,0.9023182345516236,0.9817405368250472
16,0.09999999999999999,0.5,0.39999999999999997,0.17166272787258924,0.24101392356100995,0.8942163565488512,0.0032304525489839373,0.5153533803411936,0.22813829861621363,0.0,0.0,858.8,1634.1,1705.6,532.1,407.5,363.7,275.3,776.2,,,0.5416457707527104,0.6668564816719423,0.8158424772618625,0.7242431135963001,0.7390591731988282,0.813632306112592,0.889048829405586,0.9815129968235891
17,0.09999999999999999,0.5999999999999999,0.29999999999999993,0.20497200406429697,0.2962503973878706,0.8616452233953742,0.0035883528026536713,0.4607161192927576,0.25430294921810226,0.0,309.9,1820.8,1820.1,524.7,392.0,348.0,315.6,253.6,768.6,,0.5004604638567279,0.6377628005990286,0.813913497564753,0.7039833045262381,0.7125673596979674,0.7528083406386697,0.8011610920532233,0.8735020380084677,0.9799137119474665
18,0.09999999999999999,0.7000000000000001,0.19999999999999998,0.22069531498694145,0.35149282251835406,0.7913363331533767,0.014141271107138646,0.4060788582443243,0.28241389676200873,0.0,1648.1,2094.2,514.2,381.4,326.5,307.1,288.3,228.5,765.0,,0.6050049370109936,0.7979104204883514,0.7055464223946519,0.6811506598948057,0.7270313316162383,0.7568551625374003,0.801971216438831,0.8552801155826456,0.9781926449888516
19,0.09999999999999999,0.7999999999999999,0.09999999999999999,0.25730919959447507,0.40525049415713027,0.8131636312575472,0.006006843164353161,0.3514415971958913,0.3119454401219325,876.7,2667.3,529.9,349.4,332.8,287.0,273.9,262.9,203.8,769.6,0.5814389680492607,0.7612792073379868,0.7179329026375816,0.67133407606592,0.687225818895921,0.7359781698088689,0.7596651855666441,0.8019596482027749,0.8570143790933772,0.970849482603296
20,0.09999999999999999,0.9000000000000001,0.0,0.2642150051389814,0.4561912308577825,0.7760365598956855,0.011886961532119069,0.2968043361474606,0.3425303530574146,3329.1,585.9,335.2,305.6,291.1,258.2,244.4,244.5,183.5,775.8,0.7222235231020829,0.7145618938454079,0.6640779980082196,0.6731004412616982,0.7153438092612437,0.7380150830948191,0.7543368141940109,0.8068755607734731,0.8509157720031121,0.964896938696645
21,0.19999999999999998,0.0,0.7999999999999999,0.024304412473853378,0.020065234545197003,0.9857348144386169,0.0005319168092777345,0.7616937662929972,0.15904913471689708,0.0,0.0,0.0,0.0,291.0,964.7,1200.7,1137.8,1333.5,1625.6,,,,,0.4891741251073441,0.5488817403906395,0.6224603066494974,0.7173160587033719,0.8578918182075703,0.9569112040127516
